,airline_sentiment,nearest_city
0,positive,les Escaldes
1,negative,Andorra la Vella
2,neutral,Umm al Qaywayn
3,negative,Ras al-Khaimah
4,positive,Khawr Fakkān
5,neutral,Dubai
6,neutral,Dibba Al-Fujairah
7,negative,Dibba Al-Hisn
8,positive,Sharjah
9,neutral,Ar Ruways
10,negative,Al Fujayrah
11,positive,Al Ain
12,negative,Ajman
13,neutral,Adh Dhayd
14,positive,Abu Dhabi
15,positive,Zaranj
16,positive,Taloqan
17,negative,Shīnḏanḏ
18,negative,Shibirghān
19,positive,Shahrak
20,neutral,Sar-e Pul
21,positive,Sang-e Chārak
22,neutral,Aībak
23,negative,Rustāq
24,neutral,Qarqīn
25,positive,Qarāwul
26,neutral,Pul-e Khumrī
27,neutral,Paghmān
28,negative,Nahrīn
29,positive,Maymana
30,negative,Mehtar Lām
31,neutral,Mazār-e Sharīf
32,negative,Lashkar Gāh
33,negative,Kushk
34,negative,Kunduz
35,negative,Khōst
36,negative,Khulm
37,negative,Khāsh
38,negative,Khanabad
39,negative,Karukh
40,negative,Kandahār
41,negative,Kabul
42,negative,Jalālābād
43,negative,Jabal os Saraj
44,negative,Herāt
45,positive,Ghormach
46,negative,Ghazni
47,negative,Gereshk
48,positive,Gardez
49,negative,Fayzabad
50,neutral,Farah
51,neutral,Kafir Qala
52,negative,Charikar
53,neutral,Baraki Barak
54,negative,Bāmyān
55,negative,Balkh
56,neutral,Baghlān
57,negative,Ārt Khwājah
58,negative,Āsmār
59,negative,Asadābād
60,positive,Andkhōy
61,negative,Bāzārak
62,positive,Markaz-e Woluswalī-ye Āchīn
63,negative,Saint John’s
64,neutral,The Valley
65,negative,Sarandë
66,negative,Kukës
67,negative,Korçë
68,negative,Gjirokastër
69,negative,Elbasan
70,negative,Burrel
71,negative,Vlorë
72,negative,Tirana
73,negative,Shkodër
74,negative,Patos Fshat
75,negative,Lushnjë
76,negative,Lezhë
77,negative,Laç
78,negative,Kuçovë
79,negative,Krujë
80,positive,Kavajë
81,negative,Fier-Çifçi
82,negative,Fier
83,negative,Durrës
84,negative,Berat
85,negative,Kapan
86,negative,Goris
87,negative,Hats’avan
88,neutral,Artashat
89,negative,Ararat
90,negative,Yerevan
91,neutral,Ejmiatsin
92,negative,Step’anavan
93,positive,Spitak
94,negative,Sevan
95,negative,Masis
96,neutral,Vanadzor
97,negative,Gavarr
98,negative,Hrazdan
99,negative,Armavir
100,negative,Gyumri
101,negative,Ashtarak
102,neutral,Abovyan
103,neutral,Saurimo
104,negative,Lucapa
105,negative,Luau
106,negative,Uíge
107,positive,Soio
108,positive,Nzeto
109,neutral,N’dalatando
110,positive,Mbanza Congo
111,negative,Malanje
112,positive,Luanda
113,positive,Caxito
114,negative,Cabinda
115,negative,Sumbe
116,negative,Namibe
117,negative,Menongue
118,negative,Luena
119,neutral,Lubango
120,negative,Longonjo
121,negative,Lobito
122,negative,Cuito
123,negative,Huambo
124,negative,Catumbela
125,negative,Catabola
126,negative,Camacupa
127,positive,Caluquembe
128,positive,Caála
129,negative,Benguela
130,negative,Zárate
131,negative,Villa Ortúzar
132,neutral,Villa Ocampo
133,negative,Villa Lugano
134,negative,Villaguay
135,negative,Villa Gesell
136,neutral,Tigre
137,negative,Tandil
138,negative,San Vicente
139,negative,Santo Tomé
140,positive,Santa Elena
141,neutral,San Pedro
142,negative,San Luis del Palmar
143,negative,San Lorenzo
144,negative,San Javier
145,negative,San Isidro
146,negative,Saladas
147,negative,Retiro
148,negative,Resistencia
149,negative,Reconquista
150,positive,Quilmes
151,negative,Puerto Rico
152,negative,Puerto Iguazú
153,positive,Puerto Esperanza
154,negative,Puerto Eldorado
155,negative,Posadas
156,negative,Pontevedra
157,negative,Pirané
158,negative,Paso de los Libres
159,negative,Oberá
160,neutral,Necochea
161,negative,Morón
162,negative,Monte Caseros
163,negative,Montecarlo
164,negative,Mercedes
165,negative,Mercedes
166,negative,Mar del Plata
167,neutral,Luján
168,positive,La Plata
169,negative,La Paz
170,negative,Jardín América
171,negative,Gualeguaychú
172,neutral,Gualeguay
173,negative,Goya
174,negative,Gobernador Ingeniero Valentín Virasoro
175,positive,General José de San Martín
176,positive,Garupá
177,positive,Formosa
178,negative,Fontana
179,positive,Federal
180,positive,Esquina
181,negative,El Soberbio
182,negative,Dolores
183,negative,Curuzú Cuatiá
184,negative,Corrientes
185,negative,Concordia
186,negative,Concepción del Uruguay
187,negative,Colegiales
188,negative,Chajarí
189,negative,Campana
190,negative,Buenos Aires
191,negative,Barranqueras
192,negative,Azul
193,positive,Avellaneda
194,negative,Aristóbulo del Valle
195,neutral,Zapala
196,positive,Yerba Buena
197,negative,Villa Regina
198,negative,Villa Paula de Sarmiento
199,negative,Villa Nueva
200,positive,Villa María
201,negative,Villa Dolores
202,negative,Villa Constitución
203,positive,Villa Carlos Paz
204,positive,Villa Ángela
205,negative,Villa Allende
206,neutral,Viedma
207,negative,Victoria
208,negative,Vera
209,neutral,Venado Tuerto
210,negative,Veinticinco de Mayo
211,neutral,Ushuaia
212,negative,Unquillo
213,positive,Tres Isletas
214,negative,Tres Arroyos
215,negative,Trelew
216,neutral,Termas de Río Hondo
217,negative,Tartagal
218,positive,Tafí Viejo
219,negative,Sunchales
220,neutral,Santo Tomé
221,positive,Santiago del Estero
222,negative,Santa Rosa
223,neutral,Santa Lucía
224,negative,Santa Fe de la Vera Cruz
225,negative,San Salvador de Jujuy
226,neutral,San Ramón de la Nueva Orán
227,negative,San Rafael
228,negative,San Pedro
229,negative,San Nicolás de los Arroyos
230,negative,San Miguel de Tucumán
231,neutral,San Martín de los Andes
232,neutral,San Martín
233,negative,San Luis
234,positive,San Justo
235,negative,San Juan
236,negative,San José de Jáchal
237,negative,San Jorge
238,negative,San Francisco
239,negative,San Fernando del Valle de Catamarca
240,negative,San Antonio Oeste
241,negative,Salta
242,positive,Rufino
243,negative,Rosario
244,negative,Río Tercero
245,positive,Río Segundo
246,neutral,Río Gallegos
247,neutral,Río Cuarto
248,negative,Río Ceballos
249,negative,Rawson
250,neutral,Rafaela
251,negative,Quitilipi
252,neutral,Punta Alta
253,negative,Puerto Madryn
254,neutral,Presidencia Roque Sáenz Peña
255,neutral,Pocito
256,positive,Plottier
257,negative,Pergamino
258,neutral,Pérez
259,negative,Paraná
260,negative,Palpalá
261,negative,Olavarría
262,negative,Nueve de Julio
263,negative,Neuquén
264,neutral,Morteros
265,negative,Monteros
266,negative,Mendoza
267,negative,Marcos Juárez
268,negative,Machagai
269,negative,Lincoln
270,negative,Libertador General San Martín
271,negative,Las Breñas
272,negative,La Rioja
273,negative,La Falda
274,negative,La Calera
275,negative,Laboulaye
276,negative,Junín
277,positive,Joaquín V. González
278,negative,Jesús María
279,negative,Granadero Baigorria
280,positive,Gobernador Gálvez
281,negative,General Villegas
282,negative,General Roca
283,negative,General Pinedo
284,positive,General Pico
285,neutral,General Enrique Mosconi
286,negative,Gálvez
287,negative,Firmat
288,negative,Famaillá
289,negative,Esquel
290,negative,Esperanza
291,neutral,Embarcación
292,neutral,Embalse
293,negative,El Bolsón
294,positive,Diamante
295,negative,Deán Funes
296,negative,Cutral-Có
297,positive,Cruz del Eje
298,negative,Crespo
299,neutral,Cosquín
300,negative,Coronel Suárez
301,negative,Coronda
302,negative,Córdoba
303,positive,Comodoro Rivadavia
304,negative,Cipolletti
305,negative,Cinco Saltos
306,negative,Chivilcoy
307,negative,Chimbas
308,positive,Chilecito
309,negative,Charata
310,neutral,Chacabuco
311,positive,Centenario
312,negative,Caucete
313,neutral,Catriel
314,positive,Castelli
315,negative,Casilda
316,negative,Carcarañá
